image_url,bytes,pages,occurrences,classes,example_page
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a2968840f113d0218e57e5c_webflow%252Fthumb-images%252F2026%252F06%252Foutlander-netflix-saeson-7-tiden-laeger-ikke-alle-sar-men-den-abner-dem-smukt-thumb-2400w-o117l2.webp,528848,10,10,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/outlander-netflix-saeson-7-tiden-laeger-ikke-alle-sar-men-den-abner-dem-smukt
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a2965518e05ef0a1e63a6eb_webflow%252Fthumb-images%252F2026%252F06%252Fmario-tennis-server-igen-thumb-2400w-a8uqen.webp,583668,9,9,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/mario-tennis-server-igen
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a296908105fbaf8cae53d63_webflow%252Fthumb-images%252F2026%252F06%252Fthe-studio-thumb-2400w-1drsfn.webp,517108,10,10,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/the-studio
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a29667daebee7f361055aa0_webflow%252Fthumb-images%252F2026%252F06%252Felectric-callboy-pa-roskilde-hypet-show-med-akavet-miks-og-udefinerbar-energi-thumb-2400w-tqxv4z.webp,574152,9,9,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/electric-callboy-pa-roskilde---hypet-show-med-akavet-miks-og-udefinerbar-energi
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a29669557e2faa73a1bcd13_webflow%252Fthumb-images%252F2026%252F06%252Fmagicbox-pa-tinderbox-en-festival-i-festivalen-thumb-2400w-1mals3.webp,571824,9,9,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/magicbox-pa-tinderbox-en-festival-i-festivalen
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a2967df105fbaf8cae47044_webflow%252Fthumb-images%252F2026%252F06%252Fbillie-eilish-i-royal-arena-thumb-2400w-12wkvj.webp,843736,6,6,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/billie-eilish-i-royal-arena
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a29682b5f1a2e828db5e0e0_webflow%252Fthumb-images%252F2026%252F06%252Fhvem-skal-du-se-onsdag-pa-roskilde-thumb-2400w-1n9uxb.webp,558932,9,9,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/hvem-skal-du-se-onsdag-pa-roskilde
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a2966eea352d5f4013353da_webflow%252Fthumb-images%252F2026%252F06%252Fskunk-anansie-copenhell-90ernes-vrede-vendte-hjem-og-fik-publikum-til-at-skrige-med-thumb-2400w-vsgq32.webp,557056,9,9,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/skunk-anansie-copenhell-90ernes-vrede-vendte-hjem---og-fik-publikum-til-at-skrige-med
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a29650a2851ec57d6ca6ee1_webflow%252Fthumb-images%252F2026%252F06%252Fsammy-virji-i-poolen-thumb-2400w-u1xjth.webp,609874,8,8,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/sammy-virji-i-poolen
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a2964cae41d7a8f4fe48092_webflow%252Fthumb-images%252F2026%252F06%252Ffarveblind-micro-pleasures-sma-glaeder-stor-odelaeggelse-thumb-2400w-1s2r3q.webp,593734,8,8,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/farveblind---micro-pleasures-sma-glaeder-stor-odelaeggelse
